"","Code figure","...2","...3"
"48",47,"Fog or ice fog, sky invisible","has begun or has become thicker during the preceding hour"
"49",48,"Fog, depositing rime, sky visible","Fog, depositing rime, sky visible"
"50",49,"Fog, depositing rime, sky invisible","Fog, depositing rime, sky invisible"
"51",50,"Drizzle, not freezing, intermittent","slight at time of observation"
"52",51,"Drizzle, not freezing, continuous","slight at time of observation"
"53",52,"Drizzle, not freezing, intermittent","moderate at time of observation"
"54",53,"Drizzle, not freezing, continuous","moderate at time of observation"
"55",54,"Drizzle, not freezing, intermittent","heavy (dense) at time of observation"
"56",55,"Drizzle, not freezing, continuous","heavy (dense) at time of observation"
"57",56,"Drizzle, freezing, slight","Drizzle, freezing, slight"
"58",57,"Drizzle, freezing, moderate or heavy (dence)","Drizzle, freezing, moderate or heavy (dence)"
"59",58,"Drizzle and rain, slight","Drizzle and rain, slight"
"60",59,"Drizzle and rain, moderate or heavy","Drizzle and rain, moderate or heavy"
"61",60,"Rain, not freezing, intermittent","slight at time of observation"
"62",61,"Rain, not freezing, continuous","slight at time of observation"
"63",62,"Rain, not freezing, intermittent","moderate at time of observation"
"64",63,"Rain, not freezing, continuous","moderate at time of observation"
"65",64,"Rain, not freezing, intermittent","heavy at time of observation"
"66",65,"Rain, not freezing, continuous","heavy at time of observation"
"67",66,"Rain, freezing, slight","Rain, freezing, slight"
"68",67,"Rain, freezing, moderate or heavy (dence)","Rain, freezing, moderate or heavy (dence)"
"69",68,"Rain or drizzle and snow, slight","Rain or drizzle and snow, slight"
"70",69,"Rain or drizzle and snow, moderate or heavy","Rain or drizzle and snow, moderate or heavy"
"71",70,"Intermittent fall of snowflakes","slight at time of observation"
"72",71,"Continuous fall of snowflakes","slight at time of observation"
"73",72,"Intermittent fall of snowflakes","moderate at time of observation"
"74",73,"Continuous fall of snowflakes","moderate at time of observation"
"75",74,"Intermittent fall of snowflakes","heavy at time of observation"
"76",75,"Continuous fall of snowflakes","heavy at time of observation"
"77",76,"Diamond dust (with or without fog)","Diamond dust (with or without fog)"
"78",77,"Snow grains (with or without fog)","Snow grains (with or without fog)"
"79",78,"Isolated star-like snow crystals (with or without fog)","Isolated star-like snow crystals (with or without fog)"
"80",79,"Ice pellets","Ice pellets"
"81",80,"Rain shower(s), slight","Rain shower(s), slight"
"82",81,"Rain shower(s), moderate or heavy","Rain shower(s), moderate or heavy"
"83",82,"Rain shower(s), violent","Rain shower(s), violent"
"84",83,"Shower(s) of rain and snow mixed, slight","Shower(s) of rain and snow mixed, slight"
"85",84,"Shower(s) of rain and snow mixed, moderate or heavy","Shower(s) of rain and snow mixed, moderate or heavy"
"86",85,"Snow shower(s), slight","Snow shower(s), slight"
"87",86,"Snow shower(s), moderate or heavy","Snow shower(s), moderate or heavy"
"88",87,"Shower(s) of snow pellets or small hail, with or without rain or rain and snow mixed","- slight"
